tier,model,input_type,names_normalized,pooling,dataset,accuracy,f1_macro,precision_macro,recall_macro,f1_class0,f1_class1,precision_class0,precision_class1,recall_class0,recall_class1,tp,tn,fp,fn
tier3,xlmr_logreg,context_only,False,cls,orange_test,0.6417910447761194,0.6410714285714285,0.6420250896057347,0.6412655971479502,0.6571428571428571,0.625,0.6388888888888888,0.6451612903225806,0.6764705882352942,0.6060606060606061,20,23,11,13
tier3,xlmr_logreg,context_only,False,mean,orange_test,0.6567164179104478,0.653941163260723,0.6597985347985349,0.6555258467023173,0.684931506849315,0.6229508196721312,0.6410256410256411,0.6785714285714286,0.7352941176470589,0.5757575757575758,19,25,9,14
tier3,xlmr_logreg,context_only,True,cls,orange_test,0.6567164179104478,0.6564102564102564,0.6566964285714285,0.6564171122994653,0.6666666666666666,0.6461538461538462,0.6571428571428571,0.65625,0.6764705882352942,0.6363636363636364,21,23,11,12
tier3,xlmr_logreg,context_only,True,mean,orange_test,0.6417910447761194,0.6417112299465241,0.6417112299465241,0.6417112299465241,0.6470588235294118,0.6363636363636364,0.6470588235294118,0.6363636363636364,0.6470588235294118,0.6363636363636364,21,22,12,12
tier3,xlmr_logreg,context_text,False,cls,gold,0.75,0.7417654808959157,0.7459893048128342,0.7395833333333333,0.6956521739130435,0.7878787878787878,0.7272727272727273,0.7647058823529411,0.6666666666666666,0.8125,13,8,4,3
tier3,xlmr_logreg,context_text,False,mean,gold,0.6785714285714286,0.6781609195402298,0.6846153846153846,0.6875,0.6666666666666666,0.6896551724137931,0.6,0.7692307692307693,0.75,0.625,10,9,3,6
tier3,xlmr_logreg,context_text,True,cls,gold,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,12,8,4,4
tier3,xlmr_logreg,context_text,True,mean,gold,0.6428571428571429,0.641025641025641,0.6428571428571428,0.6458333333333333,0.6153846153846154,0.6666666666666666,0.5714285714285714,0.7142857142857143,0.6666666666666666,0.625,10,8,4,6
tier3,xlmr_logreg,context_text,False,cls,orange_test,0.6865671641791045,0.6862876254180602,0.6866071428571429,0.6862745098039216,0.6956521739130435,0.676923076923077,0.6857142857142857,0.6875,0.7058823529411765,0.6666666666666666,22,24,10,11
tier3,xlmr_logreg,context_text,False,mean,orange_test,0.6865671641791045,0.6840332360206602,0.6904761904761905,0.6853832442067735,0.7123287671232876,0.6557377049180327,0.6666666666666666,0.7142857142857143,0.7647058823529411,0.6060606060606061,20,26,8,13
tier3,xlmr_logreg,context_text,True,cls,orange_test,0.6119402985074627,0.6118538324420677,0.6125,0.6122994652406417,0.6060606060606061,0.6176470588235294,0.625,0.6,0.5882352941176471,0.6363636363636364,21,20,14,12
tier3,xlmr_logreg,context_text,True,mean,orange_test,0.6268656716417911,0.6255309635591326,0.6274774774774774,0.626114081996435,0.647887323943662,0.6031746031746031,0.6216216216216216,0.6333333333333333,0.6764705882352942,0.5757575757575758,19,23,11,14
tier3,xlmr_logreg,text_only,False,cls,gold,0.7142857142857143,0.7083333333333333,0.7083333333333333,0.7083333333333333,0.6666666666666666,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,12,8,4,4
tier3,xlmr_logreg,text_only,False,mean,gold,0.8214285714285714,0.8155467720685112,0.820855614973262,0.8125,0.782608695652174,0.8484848484848485,0.8181818181818182,0.8235294117647058,0.75,0.875,14,9,3,2
tier3,xlmr_logreg,text_only,True,cls,gold,0.7142857142857143,0.7128205128205127,0.7142857142857143,0.71875,0.6923076923076923,0.7333333333333333,0.6428571428571429,0.7857142857142857,0.75,0.6875,11,9,3,5
tier3,xlmr_logreg,text_only,True,mean,gold,0.7857142857142857,0.78125,0.78125,0.78125,0.75,0.8125,0.75,0.8125,0.75,0.8125,13,9,3,3
tier3,xlmr_logreg,text_only,False,cls,orange_test,0.6119402985074627,0.6048094373865699,0.624031007751938,0.6140819964349375,0.5517241379310345,0.6578947368421053,0.6666666666666666,0.5813953488372093,0.47058823529411764,0.7575757575757576,25,16,18,8
tier3,xlmr_logreg,text_only,False,mean,orange_test,0.6865671641791045,0.6862876254180602,0.6881720430107527,0.6871657754010696,0.676923076923077,0.6956521739130435,0.7096774193548387,0.6666666666666666,0.6470588235294118,0.7272727272727273,24,22,12,9
tier3,xlmr_logreg,text_only,True,cls,orange_test,0.6268656716417911,0.623849090500786,0.6333333333333333,0.6283422459893049,0.5901639344262295,0.6575342465753424,0.6666666666666666,0.6,0.5294117647058824,0.7272727272727273,24,18,16,9
tier3,xlmr_logreg,text_only,True,mean,orange_test,0.5970149253731343,0.5966555183946489,0.596875,0.5967023172905526,0.6086956521739131,0.5846153846153846,0.6,0.59375,0.6176470588235294,0.5757575757575758,19,21,13,14
