tier,model,input_type,names_normalized,pooling,dataset,accuracy,f1_macro,precision_macro,recall_macro,f1_class0,f1_class1,precision_class0,precision_class1,recall_class0,recall_class1,tp,tn,fp,fn
tier3,xlmr_logreg,context_text,True,cls,gold,0.7143,0.7083,0.7083,0.7083,0.6667,0.75,0.6667,0.75,0.6667,0.75,12,8,4,4
tier3,xlmr_logreg,context_text,True,mean,gold,0.6429,0.641,0.6429,0.6458,0.6154,0.6667,0.5714,0.7143,0.6667,0.625,10,8,4,6
tier3,xlmr_logreg,context_text,False,cls,orange_test,0.6866,0.6863,0.6866,0.6863,0.6957,0.6769,0.6857,0.6875,0.7059,0.6667,22,24,10,11
tier3,xlmr_logreg,context_text,False,mean,orange_test,0.6866,0.684,0.6905,0.6854,0.7123,0.6557,0.6667,0.7143,0.7647,0.6061,20,26,8,13
tier3,xlmr_logreg,context_text,True,cls,orange_test,0.6119,0.6119,0.6125,0.6123,0.6061,0.6176,0.625,0.6,0.5882,0.6364,21,20,14,12
tier3,xlmr_logreg,context_text,True,mean,orange_test,0.6269,0.6255,0.6275,0.6261,0.6479,0.6032,0.6216,0.6333,0.6765,0.5758,19,23,11,14
tier3,xlmr_logreg,text_only,False,cls,gold,0.7143,0.7083,0.7083,0.7083,0.6667,0.75,0.6667,0.75,0.6667,0.75,12,8,4,4
tier3,xlmr_logreg,text_only,False,mean,gold,0.8214,0.8155,0.8209,0.8125,0.7826,0.8485,0.8182,0.8235,0.75,0.875,14,9,3,2
tier3,xlmr_logreg,text_only,True,cls,gold,0.7143,0.7128,0.7143,0.7188,0.6923,0.7333,0.6429,0.7857,0.75,0.6875,11,9,3,5
tier3,xlmr_logreg,text_only,True,mean,gold,0.7857,0.7812,0.7812,0.7812,0.75,0.8125,0.75,0.8125,0.75,0.8125,13,9,3,3
tier3,xlmr_logreg,text_only,False,cls,orange_test,0.6119,0.6048,0.624,0.6141,0.5517,0.6579,0.6667,0.5814,0.4706,0.7576,25,16,18,8
tier3,xlmr_logreg,text_only,False,mean,orange_test,0.6866,0.6863,0.6882,0.6872,0.6769,0.6957,0.7097,0.6667,0.6471,0.7273,24,22,12,9
tier3,xlmr_logreg,text_only,True,cls,orange_test,0.6269,0.6238,0.6333,0.6283,0.5902,0.6575,0.6667,0.6,0.5294,0.7273,24,18,16,9
tier3,xlmr_logreg,text_only,True,mean,orange_test,0.597,0.5967,0.5969,0.5967,0.6087,0.5846,0.6,0.5938,0.6176,0.5758,19,21,13,14
